#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
558,Yes,female,20,Tolkarm,university,single,study,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Not sure
559,Yes,female,21,Tolkarm,university,single,study,no,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
560,Yes,female,22,Tolkarm,university,single,"friends/relatives , study, others",no,Not sure,Not sure,Not sure,Not sure,"decreased blood supply to the joint, nerve compression near the joint ",Not sure,Yes,Not sure,Not sure,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure
561,Yes,female,21,Tolkarm,university,single,friends/relatives ,no,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes
562,Yes,female,21,Tolkarm,university,single,others,no,Not sure,Not sure,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,no,Not sure,Not sure,Not sure,no,Yes,Not sure,no,no,Yes,no,no,Not sure,no,Yes,Not sure,Not sure,Yes
563,Yes,female,22,Tolkarm,university,single,media,no,Yes,Yes,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,Yes,no,no,no,Yes,no,no,Yes
564,Yes,female,21,Tolkarm,university,single,others,no,Yes,Yes,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,no,Yes,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure,no
565,Yes,female,21,Tolkarm,university,single,"study, others",no,Yes,no,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
566,Yes,female,20,Tolkarm,university,single,others,no,Yes,Not sure,no,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Not sure
567,Yes,female,21,Tolkarm,university,single,"friends/relatives , others",Yes,Yes,no,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,no,Not sure,no,Yes,Not sure,no,Yes,Yes,Yes,no,no,no,Yes,no,Yes,Yes
568,Yes,female,25,Tolkarm,university,Married,media,no,Yes,Not sure,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Not sure,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Not sure
569,Yes,female,32,Tolkarm,high school,Married,friends/relatives ,Yes,Not sure,no,Yes,Yes,crystal accumulation in the joint,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes
570,Yes,female,23,Tolkarm,university,single,others,no,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes
571,Yes,female,23,Tolkarm,university,single,others,no,Not sure,no,Not sure,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
572,Yes,female,22,Tolkarm,university,single,friends/relatives ,no,Yes,Not sure,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Not sure,Yes,Not sure,Yes,no,Yes,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure
573,Yes,female,45,Tolkarm,university,Married,study,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,no,Yes,Yes,Yes,no,no,no,Not sure,Not sure,no,Yes,Yes
574,Yes,female,19,Tolkarm,university,single,media,no,Yes,no,Yes,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Not sure,Not sure,Yes,no,Yes,Not sure,no,no,Not sure,no,Yes,no,Yes,Yes,Yes
575,Yes,female,57,Jericho,high school,Married,Personal history,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
576,Yes,female,30,Jericho,university,Married,friends/relatives ,Yes,Not sure,no,Yes,Not sure,nerve compression near the joint ,Not sure,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Yes,no,Yes,Yes,no,Not sure,Yes
577,Yes,male,27,Jericho,high school,single,friends/relatives ,no,Not sure,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,no,Yes,Yes,Not sure,no,Yes,Not sure,Yes,no,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
578,Yes,female,35,Jericho,university,Married,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
579,Yes,female,32,Jericho,high school,Married,Personal history,Yes,Yes,Yes,Not sure,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,Not sure,no,Not sure,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
580,Yes,female,22,Jericho,high school,Married,study,no,Yes,no,no,Yes,crystal accumulation in the joint,no,Yes,no,no,Not sure,no,no,no,Not sure,no,Yes,Yes,Not sure,Not sure,Not sure,no,Yes,Not sure,no,no
581,Yes,female,28,Jericho,university,single,others,no,Yes,no,Yes,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,no,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
582,Yes,female,22,Jericho,university,single,friends/relatives ,no,Yes,no,Not sure,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
583,Yes,female,23,Jericho,university,single,study,Yes,Yes,no,no,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
584,Yes,female,40,Jericho,university,Married,friends/relatives ,Yes,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,no,Yes,Yes,Not sure,no,Not sure,no,Yes,Not sure,no,Yes,no,no,no,Yes,Yes
585,Yes,female,47,Jericho,university,Married,"friends/relatives , study",Yes,no,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
586,Yes,female,26,Jericho,high school,Married,friends/relatives ,Yes,Yes,Yes,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,no,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes
587,Yes,female,23,Jericho,university,single,others,no,Not sure,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , crystal accumulation in the joint",no,Yes,Not sure,Yes,no,Yes,no,Not sure,Not sure,Yes,Yes,Yes,no,no,no,Yes,no,no,Yes,no
588,Yes,female,30,Jericho,university,Married,friends/relatives ,Yes,Yes,Not sure,Not sure,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure
589,Yes,female,32,Jericho,university,Married,others,Yes,Yes,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,no,Yes,Yes,Not sure,Not sure,Yes
590,Yes,female,23,Jericho,university,single,study,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,no,Yes,no,Yes,Yes
591,Yes,male,26,Jericho,university,single,study,Yes,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,no,Yes,no,no,no,no,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes
592,Yes,male,36,Jericho,university,Married,Personal history,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,no,Yes,no,no,no,Yes,no,no,Yes,Not sure,Yes,Not sure
593,Yes,female,28,Salfeet ,university,Married,"study, others",Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
594,Yes,male,49,Jericho,uneducated,Married,Personal history,no,Not sure,no,Yes,Yes,infection,no,Yes,no,no,Yes,no,Yes,no,no,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes
595,Yes,female,28,Jericho,university,Married,"friends/relatives , media",Yes,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,no,Not sure,no,no,no,Yes,no,Yes,no,no,no,no,Yes,Yes,Not sure
596,Yes,female,23,Jericho,university,Married,"friends/relatives , media",Yes,Not sure,no,Yes,Not sure,decreased blood supply to the joint,Not sure,Yes,Yes,Not sure,Not sure,no,Not sure,Not sure,no,Not sure,Not sure,no,Not sure,no,Yes,Not sure,Not sure,Yes,Not sure,Not sure
597,Yes,female,21,Jericho,university,single,friends/relatives ,no,Not sure,Yes,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,no,Yes,Not sure,Yes,Yes,Not sure,no,no,Not sure,no,Not sure,no
598,Yes,female,52,Jericho,university,Married,others,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
599,Yes,male,67,Jericho,high school,Married,"Personal history, friends/relatives ",Yes,Yes,Not sure,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,no,Yes,Yes,Yes,Not sure,no,no,Not sure,Yes,Yes,Yes,Yes
600,Yes,female,54,Jericho,high school,Married,"Personal history, study, others",no,Not sure,Yes,Yes,Not sure,nerve compression near the joint ,Yes,Yes,no,Not sure,no,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
601,Yes,female,24,Jericho,university,Divorced,friends/relatives ,Yes,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Not sure,Yes,no,no,Not sure,Not sure,no,no,Yes,no,Yes,Yes,no,no,Yes,Yes
602,Yes,female,31,Jericho,university,Divorced,others,no,no,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,no,Yes,Not sure,no,Yes,Yes,Yes,no,Not sure
603,Yes,female,22,Jericho,university,single,"study, media, others",no,Yes,Not sure,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
604,Yes,female,23,Jericho,university,single,"study, healthcare",Yes,Yes,no,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Not sure,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes
605,Yes,female,23,Jericho,university,single,study,Yes,Yes,no,Yes,no,nerve compression near the joint ,no,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure
606,Yes,male,19,Jericho,university,single,study,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes
607,Yes,male,24,Jericho,university,single,media,no,Not sure,Yes,Not sure,Yes,nerve compression near the joint ,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure
608,Yes,female,25,Jericho,university,Married,"study, others",Yes,Yes,Yes,Yes,Yes,nerve compression near the joint ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
609,Yes,female,22,Jericho,university,single,"study, media",no,Yes,Yes,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no
610,Yes,female,24,Jerusalem,Postgraduate studies (Masters/PhD),single,"Personal history, study",Yes,Yes,no,Yes,Yes,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
611,Yes,female,18,Jerusalem,high school,single,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no
612,Yes,female,24,Jerusalem,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,no,Not sure
613,Yes,female,18,Jerusalem,high school,single,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,no,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no
614,Yes,female,24,Jerusalem,university,single,study,no,Yes,no,no,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes
615,Yes,female,23,Jerusalem,university,single,"friends/relatives , healthcare",Yes,Yes,no,Not sure,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
616,Yes,female,24,Jerusalem,university,single,"friends/relatives , study",Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
617,Yes,female,22,Jerusalem,university,Married,"media, others",Yes,Yes,Not sure,no,Not sure,"decreased blood supply to the joint, nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure
618,Yes,female,24,Jerusalem,Postgraduate studies (Masters/PhD),single,study,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,no
619,Yes,female,26,Jerusalem,university,single,study,Yes,no,no,no,no,decreased blood supply to the joint,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,no,Yes,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes
620,Yes,female,18,Jerusalem,high school,single,study,Yes,no,no,no,Not sure,"nerve compression near the joint , crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,no,no,Not sure,Not sure,Yes,Not sure,Yes,no,no,Yes,Yes,Yes,Yes,Not sure,Not sure
621,Yes,female,23,Jerusalem,university,single,"friends/relatives , study, healthcare",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
622,Yes,female,26,Jerusalem,university,Married,friends/relatives ,Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Yes,no,Yes,Not sure,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
623,Yes,female,55,Jerusalem,high school,Married,Personal history,Yes,Not sure,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,no,Not sure,Yes,Yes,no,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,no,no,Yes
624,Yes,female,24,Jerusalem,university,single,study,no,Yes,no,no,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
625,Yes,male,56,Jerusalem,university,Married,friends/relatives ,Yes,Yes,Yes,Yes,Not sure,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,no,Yes,no,Yes,no,no,no,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Yes
626,Yes,male,58,Jerusalem,Postgraduate studies (Masters/PhD),Married,Personal history,Yes,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Not sure,Yes,no,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,no,Not sure,Yes,Yes,Yes,Yes
627,Yes,female,67,Jerusalem,high school,Married,Personal history,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure
628,Yes,male,57,Jerusalem,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,Yes,no,Yes,no,Not sure,no,no,Yes,Yes,Yes,no
629,Yes,male,48,Jerusalem,university,Married,"media, healthcare",no,no,Yes,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
630,Yes,female,60,Jerusalem,primary school,Married,Personal history,Yes,Yes,Yes,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Not sure,no,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
631,Yes,male,48,Jerusalem,high school,Married,media,no,Not sure,Yes,Yes,Yes,nerve compression near the joint ,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
632,Yes,male,46,Jerusalem,high school,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes
633,Yes,male,44,Jerusalem,high school,Married,media,no,Yes,Yes,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Not sure,Not sure,Not sure,no,no,Yes,Yes,Yes,no,Yes
634,Yes,male,34,Bethlehem ,high school,single,friends/relatives ,Yes,Yes,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,no,Yes,no,Not sure,no,Not sure,Yes,Yes,Not sure,Not sure,Yes,Yes
635,Yes,male,37,Bethlehem ,high school,Married,Personal history,Yes,Yes,Yes,no,Yes,nerve compression near the joint ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,Yes
636,Yes,male,44,Jerusalem,primary school,single,media,Yes,Not sure,no,Yes,Not sure,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Not sure
637,Yes,male,55,Jerusalem,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,Yes,Yes,no,decreased blood supply to the joint,no,Yes,Yes,no,Yes,no,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
638,Yes,male,33,Bethlehem ,university,Married,friends/relatives ,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes
639,Yes,male,37,Jerusalem,university,Married,Personal history,Yes,Yes,Not sure,no,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,no,Yes,Yes,no,Not sure,Yes,Yes
640,Yes,female,27,Ramallah,university,single,"friends/relatives , healthcare",no,Yes,Yes,Yes,Yes,"infection, decreased blood supply to the joint, nerve compression near the joint ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
641,Yes,female,46,Jerusalem,high school,Married,Personal history,Yes,Yes,Yes,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
642,Yes,male,50,Jerusalem,high school,Married,friends/relatives ,Yes,Yes,no,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,no,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,Yes,Yes,Yes,no,Yes
643,Yes,male,76,Jerusalem,high school,Married,Personal history,Yes,Yes,Not sure,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Not sure,Yes,Yes,no,no,Yes,no,Yes,no,Yes,Yes,Yes,Not sure,no,Yes,Yes,no,Yes,Yes,Yes
644,Yes,female,29,Jerusalem,university,Married,"friends/relatives , healthcare",Yes,Yes,Not sure,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
645,Yes,male,50,Jerusalem,high school,Married,friends/relatives ,no,Yes,no,Yes,no,decreased blood supply to the joint,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,no,Not sure,Yes,Yes,Yes,Not sure,Not sure
646,Yes,female,21,Bethlehem ,university,single,study,no,Not sure,Yes,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Not sure,no,Not sure,Yes,no,Not sure,Not sure,Not sure,no,Not sure,Not sure,no,Not sure,no,Not sure,Yes,Not sure,Yes
